ID,Wave,Priority,Workstream,Preserved original IDs,Dependencies,Deliverable,Acceptance evidence,Status
N01,0,High,Coverage and lifecycle ontology,R03;R05;R11;R13,,"Map dedicated explanation, worked trace, executable mechanism and connected artifact separately; add lifecycle/discipline facets without changing existing IDs.",Every existing lesson retains a canonical home and valid links; coverage badges correspond to real inspectable capability.,Proposed; not implemented by this assessment
N02,1,High,Mathematical prerequisites and data lineage,R02;R05;R17;R26,N01,"Add tensor/probability/numerical foundations and a small corpus lineage, tokenizer, split, packing and sampling experience.",A learner can reproduce a batch from its manifest and identify a leak or wrong denominator; canonical math and independent reference checks pass.,Proposed; not implemented by this assessment
N03,1,High,A complete model that actually learns,R12;R16;R26,N02,"Implement a bounded seeded causal decoder with forward/backward/update, inspectable tensors and checkpoint/resume state.","Gradient reference, masking/causality checks, resumable equivalence and held-out evaluation demonstrate the stated mechanism.",Proposed; not implemented by this assessment
N04,2,High,Continued and post-training mechanisms,R26;R28,N03;N06,"Fork the same checkpoint through continuation, SFT, preference and a bounded verifiable-reward case; preserve stage contracts and evaluate forgetting.",Changed trainable state and objective produce actual outputs; include proxy-reward failure and evaluation kept independent of selection.,Proposed; not implemented by this assessment
N05,3,High,Distributed learning execution,R12;R16;R21;R23;R26,N03;N12,Execute sample-weighted gradients and explicit sharding/collective ownership; connect checkpoint and memory lifetimes.,Global objective agrees within declared floating-point tolerances; uneven batches and failed/restarted ranks expose the correct accounting.,Proposed; not implemented by this assessment
N06,1-2,High,Evaluation and reproducible system identity,R07;R17;R25;R26,N01,"Unify dataset/model/tool/evaluation versions, metric denominators, calibration, contamination checks, rubrics and failure sets.","Reproduce a report from the identified artifacts; expose disagreement between accuracy, support, reward and task success.",Proposed; not implemented by this assessment
N07,2-3,High,Inference and serving event traces,R12;R16;R23;R26,N03;N06,"Connect generation, KV lifetime, batching/admission, quantization and speculative verification to queues and resource boundaries.",A request has a reproducible token/event trace and bounded timing/resource outputs; overload and approximation failures are observable.,Proposed; not implemented by this assessment
N08,2,High,Knowledge and retrieval systems,R16;R26,N06;N07,Extend lexical retrieval to embedding/index/reranking/context assembly and grounded generation with versioned knowledge.,"Measure retrieval, answer correctness, citation support and abstention separately; stale/wrong-entity evidence yields a diagnosable failure.",Proposed; not implemented by this assessment
N09,1-2,High,Executing durable automation,R08;R12;R16;R26,N01;N06,"Create a local workflow runtime with typed actions, journaled state, retries, cancellation and replay; add model-selected branches after deterministic semantics work.",A timeout after commit and duplicate delivery do not create duplicate side effects; end-state success is checked in the simulated environment.,Proposed; not implemented by this assessment
N10,2,High,"Tool protocols, authority and observability",R08;R10;R25;R26,N09,"Teach schema discovery, protocol boundaries, identities/capabilities, approval scope, untrusted content and trace inspection using bounded fixtures.",Invalid or unauthorized actions are rejected; malicious retrieved instructions cannot expand permissions; failures can be attributed to model/runtime/tool layers.,Proposed; not implemented by this assessment
N11,3,High,"Process, design and physical realization bridges",R14;R15;R19;R22,N01,"Deepen device/cell validity, design contracts, CDC/reset, timing and test; carry explicit specimen/contract identity across selected realization stages.",Reference artifacts and deliberately failed checks expose scope; process variation changes a declared electrical/acceptance model without implying foundry qualification.,Proposed; not implemented by this assessment
N12,3,High,Architecture and data-movement mechanisms,R15;R20;R21,N01,"Extend CPU/GPU/control/scheduling, cache/address/DRAM events and network transactions around the same bounded operation. Include firmware/boot and driver/DMA/IOMMU ownership as the commissioning-to-runtime bridge, with pinned primary-source prerequisites.",Output remains invariant within precision rules; byte/transaction/synchronization accounting reconciles at each named boundary.,Proposed; not implemented by this assessment
N13,3,High,"Package, HBM and memory-tier continuity",R14;R19;R20;R24,N11;N12,"Join stack/interface reliability, timing/refresh/ECC and working-set placement to the selected workload; preserve emerging HBF assumptions.","A bond/stack/tier intervention changes an identified mechanism and outcome with stated material, access, qualification and software limits.",Proposed; not implemented by this assessment
N14,3,High,Reliable AI-factory operation,R23;R24;R27,N05;N07;N13,Connect storage/network/commissioning/fault diagnosis and resource admission to retained work and accepted service outcomes.,"Work, time, power and recovery ledgers use common boundaries; diagnose a slow rank, failed checkpoint or overloaded service.",Proposed; not implemented by this assessment
N15,4,Medium,Contrasting AI architectures and learning families,R16;R21;R26;R28,N02;N03;N06,"Add selected dense/MoE, recurrence/state-space, vision, speech, diffusion, graph and classical/search specimens.",Each family exposes a distinct algorithm and task/data/workload assumptions; alternatives share evaluation only where comparison is valid.,Proposed; not implemented by this assessment
N16,4,Medium,"Applications, edge and embodied control",R16;R23;R26;R27,N06;N09;N15,"Add ranking, forecasting, coding, scientific/industrial and sensor-to-action cases with simple baselines and real task-specific constraints.","Observe closed-loop/task outcomes, delay/noise or distribution failure and resource limits; simulation and physical evidence remain distinct.",Proposed; not implemented by this assessment
N17,0-5,High,Scientific review and human learning operations,R02;R05;R10;R18;R25;R30,,"Complete remaining source-scope reviews, coordinate specialist/learner/accessibility observation, maintain evidence freshness and test instructor/contributor reuse.",Actual actor/date/assistance/device/scope records support claims; review kits or AI checks do not masquerade as independent observations.,Proposed; not implemented by this assessment
N18,5,Medium,"History, economics and frontier evidence",R24;R27;R28,N06;N14;N15,"Teach bottleneck-changing breakthroughs, useful-compute economics, capacity allocation and bounded orbital/novel-compute scenarios.","Dated operating/building/announced states, metrics and source limits remain explicit; no private queue inference or guaranteed AGI extrapolation.",Proposed; not implemented by this assessment
