ID,Phase,Priority,Workstream,Deliverable,Acceptance evidence,Lead role,Dependencies,Relative effort,Baseline evidence
R01,0,Critical,Scientific integrity,Correct three confirmed radical-rendering defects,Source grouping and displayed math agree for energy-bands/contact/normalization; independent semantic checks added,Scientific editor + frontend engineer,,S,equation-audit.json
R02,0,High,Scientific integrity,Review all 229 science cards and replace heuristic formula authoring,Every card classified as formal expression or prose relationship; canonical notation and symbol/units/regime verified for formal math,Scientific editor + domain reviewers,R01,L,CURRICULUM-AUDIT.md
R03,0,High,Navigation,Normalize domain IDs and review chapter placement,All 224 lessons have deliberate primary placement; infrastructure no longer falls accidentally under software; stable links retained,Curriculum editor + frontend engineer,,M,CURRICULUM-AUDIT.md; LIVE-REVIEW.md
R04,0,High,Editorial quality,Rewrite 38 confirmed authoring directions for learners,Reviewed descriptions match actual visible capability; outstanding scene requirements recorded outside learner prose,Curriculum editor,,S,storyboard-audit.json
R05,0,High,Foundations,Complete 44 missing scaffolds and review prerequisites for 97 originals,Every original has an objective/example/evidence note and prerequisite disposition; root concepts explicitly need no prior lesson; no circular required paths,Learning designer + domain reviewers,R03,L,CURRICULUM-AUDIT.md
R06,0,High,Learning workflow,Map lesson-to-lab entry and correct misleading controls,Every lab entry opens a relevant model/route or clearly offers a general lab library; unsupported trace/process controls do not imply modeled changes,Frontend engineer + science reviewer,,M,VISUAL-LEARNING-AUDIT.md
R07,0,High,Delivery provenance,Reconcile plan completion and add reproducible build identity,Current requirements mapped to artifact and validation; source/content/model identity recoverable for releases and live site,Maintainer,,S,PLATFORM-AUDIT.md
R08,0-2,High,Reliability,Add validated data contracts and critical browser workflows,Reject invalid IDs before filtering; test deep links/back/forward/lab routing/progress migration/dialog focus/lazy failure/WebGL fallback,Frontend engineer + QA,R03,L,PLATFORM-AUDIT.md
R09,0-2,High,Mobile and performance,Measure devices and reduce readable-entry payload,Record physical iOS/Android and constrained-network baseline; target entry <=350kB local gzip using same method; optional destinations deferred; stable render/resource lifecycle,Frontend engineer + QA,,M,PLATFORM-AUDIT.md
R10,0-2,High,Accessibility,Validate complete learning tasks beyond viewport layout,Keyboard/screen-reader/reflow/reduced-motion/WebGL-unavailable paths preserve essential inspection and calculation tasks,Accessibility reviewer + frontend engineer,R08,L,PLATFORM-AUDIT.md; VISUAL-LEARNING-AUDIT.md
R11,1,High,Knowledge structure,Author typed physical/process/execution relationships,Pilot entities distinguish part-of/transforms/assembles/executes/stores/transfers/limited-by; edges have reviewed meaning and valid endpoints,Content architect + domain reviewers,R03;R08,M,PLATFORM-AUDIT.md
R12,1,High,Scenario engine,Connect existing pure numerical models to shared versioned state,One scenario retains specimen/workload/route/units/assumptions across labs and views; restore produces same results; no double-counted resource boundaries,Model engineer,R08,L,VISUAL-LEARNING-AUDIT.md
R13,1,High,Visual explanations,Introduce a mechanism-specific scene/state registry,Chosen lesson/route determines supported model and controls; state drives visible geometry/plot/table; unsupported overlays absent or accurately described,Visualization engineer + scientific reviewer,R08;R12,L,VISUAL-LEARNING-AUDIT.md
R14,1-2,High,Manufacturing experience B,Two wafer streams to a qualified accelerator pilot,Persistent logic/memory input identity; distinct TC-NCF/MR-MUF/hybrid interfaces; one stage constraint changes compatible accepted output; reviewer validates process and yield scope,Semiconductor reviewer + visualization/model engineer,R02;R05;R11;R12;R13,L,VISUAL-LEARNING-AUDIT.md; prior PLAN W01-W06
R15,1-2,High,Foundational experience A,Switching event to multiply-accumulate pilot,Coordinate energy/real-space/circuit/timing/bit representations; actual arithmetic trace and bounded voltage/load tradeoff; transferable prediction task,Device/circuit reviewer + visualization/model engineer,R02;R05;R12;R13,L,CURRICULUM-AUDIT.md
R16,2,High,Execution experience C,Request to evaluated result pilot,Inspect actual small tensor computation; trace one operation into execution; clearly separate larger planning scenario; quality/latency/resource outcome and failure case,ML/compiler reviewer + model engineer,R02;R05;R11;R12;R13,L,CURRICULUM-AUDIT.md; VISUAL-LEARNING-AUDIT.md
R17,1-2,High,Learning evidence,Add predict-explain-transfer and learner-owned scenario records,First attempt separate from practice; explanation rubric and unfamiliar transfer case; export/import with content/check/model versions; sharing restores intended state,Learning designer + frontend engineer,R08;R12,M,PLATFORM-AUDIT.md
R18,2,High,Formative validation,Observe 6-9 sessions across intended learner groups,Document tasks/sample/device/assistance/failure points; revise three pilots; report limitations and avoid efficacy claims from small sample,Learning researcher/designer,R14;R15;R16;R17;R10,M,ASSESSMENT-AND-ROADMAP.md section 9
