ID,Phase,Priority,Workstream,Deliverable,Acceptance evidence,Lead role,Dependencies,Relative effort,Baseline evidence,Current assessment,Implementation evidence,Remaining closure or scope boundary
R01,0,Critical,Scientific integrity,Correct three confirmed radical-rendering defects,Source grouping and displayed math agree for energy-bands/contact/normalization; independent semantic checks added,Scientific editor + frontend engineer,,S,equation-audit.json,Implemented within stated scope,Canonical grouping and mutation checks address the three defects.,No known outstanding defect in this bounded acceptance check.
R02,0,High,Scientific integrity,Review all 229 science cards and replace heuristic formula authoring,Every card classified as formal expression or prose relationship; canonical notation and symbol/units/regime verified for formal math,Scientific editor + domain reviewers,R01,L,CURRICULUM-AUDIT.md,Implemented; review coverage incomplete,239 explicit science cards replace heuristic formula parsing; 233 formal and six prose.,Complete recorded semantic/source review; rendering and schema checks are not scientific verification of every expression.
R03,0,High,Navigation,Normalize domain IDs and review chapter placement,All 224 lessons have deliberate primary placement; infrastructure no longer falls accidentally under software; stable links retained,Curriculum editor + frontend engineer,,M,CURRICULUM-AUDIT.md; LIVE-REVIEW.md,Implemented within stated scope,"229 normalized primary placements in six domains/63 branches, preserving IDs.",New breadth will require additive lifecycle navigation; existing placements are not a complete ontology of AI.
R04,0,High,Editorial quality,Rewrite 38 confirmed authoring directions for learners,Reviewed descriptions match actual visible capability; outstanding scene requirements recorded outside learner prose,Curriculum editor,,S,storyboard-audit.json,Implemented within stated scope,39 learner-facing authoring leaks replaced and capability wording corrected.,Maintain the same editorial test for future lessons.
R05,0,High,Foundations,Complete 44 missing scaffolds and review prerequisites for 97 originals,Every original has an objective/example/evidence note and prerequisite disposition; root concepts explicitly need no prior lesson; no circular required paths,Learning designer + domain reviewers,R03,L,CURRICULUM-AUDIT.md,Implemented; expert review remains,Scaffolds and prerequisite dispositions exist across the originals; graph validates.,"Record domain/learning review of prerequisite sufficiency, beyond DAG validity."
R06,0,High,Learning workflow,Map lesson-to-lab entry and correct misleading controls,Every lab entry opens a relevant model/route or clearly offers a general lab library; unsupported trace/process controls do not imply modeled changes,Frontend engineer + science reviewer,,M,VISUAL-LEARNING-AUDIT.md,Implemented within stated scope,Contextual labs and authored studio links distinguish supported models from the general library.,Keep worked prose distinct from actual executable mechanisms as new content arrives.
R07,0,High,Delivery provenance,Reconcile plan completion and add reproducible build identity,Current requirements mapped to artifact and validation; source/content/model identity recoverable for releases and live site,Maintainer,,S,PLATFORM-AUDIT.md,Implemented locally; publication paused,Source/content/model identities and all-30-row ledger accompany the working build.,Verify the same identity on the eventual public host after publication is authorized.
R08,0-2,High,Reliability,Add validated data contracts and critical browser workflows,Reject invalid IDs before filtering; test deep links/back/forward/lab routing/progress migration/dialog focus/lazy failure/WebGL fallback,Frontend engineer + QA,R03,L,PLATFORM-AUDIT.md,Implemented; workflow matrix partial,"Contracts, strict state parsing, deep links, lazy boundaries, imports and recovery have automated and selected browser evidence.",Close the complete critical-task browser/failure matrix; current round does not establish every fallback in every environment.
R09,0-2,High,Mobile and performance,Measure devices and reduce readable-entry payload,Record physical iOS/Android and constrained-network baseline; target entry <=350kB local gzip using same method; optional destinations deferred; stable render/resource lifecycle,Frontend engineer + QA,,M,PLATFORM-AUDIT.md,Implemented; physical observations open,"273,042 local-gzip entry bytes meet the 350,000-byte budget; responsive widths checked.","Record physical iOS/Android, constrained-network and resource-lifecycle observations."
R10,0-2,High,Accessibility,Validate complete learning tasks beyond viewport layout,Keyboard/screen-reader/reflow/reduced-motion/WebGL-unavailable paths preserve essential inspection and calculation tasks,Accessibility reviewer + frontend engineer,R08,L,PLATFORM-AUDIT.md; VISUAL-LEARNING-AUDIT.md,Implemented; accessibility observations open,"Labeled controls, MathML/text, keyboard handoff and essential 2D paths are available.","Complete screen-reader, reduced-motion and WebGL-unavailable learning tasks; responsive screenshots alone cannot close this row."
R11,1,High,Knowledge structure,Author typed physical/process/execution relationships,Pilot entities distinguish part-of/transforms/assembles/executes/stores/transfers/limited-by; edges have reviewed meaning and valid endpoints,Content architect + domain reviewers,R03;R08,M,PLATFORM-AUDIT.md,Implemented within pilot scope,75 scoped relations use 16 meanings with valid endpoints and containment checks.,Expand reviewed relation coverage as lifecycle artifacts are added; this is not a complete causal graph of 229 lessons.
R12,1,High,Scenario engine,Connect existing pure numerical models to shared versioned state,One scenario retains specimen/workload/route/units/assumptions across labs and views; restore produces same results; no double-counted resource boundaries,Model engineer,R08,L,VISUAL-LEARNING-AUDIT.md,Implemented within bounded scope,Three investigations share versioned state; eight experiences persist bounded inputs and restore identities.,No continuous atoms-to-trained-model co-simulation is claimed; future couplings need explicit contracts and boundaries.
R13,1,High,Visual explanations,Introduce a mechanism-specific scene/state registry,Chosen lesson/route determines supported model and controls; state drives visible geometry/plot/table; unsupported overlays absent or accurately described,Visualization engineer + scientific reviewer,R08;R12,L,VISUAL-LEARNING-AUDIT.md,Implemented within chosen mechanisms,"Material geometry, memory structures, exact arithmetic, routed netlist and operational traces follow model state.",Survey lessons still use shared conceptual scenes; validate new mechanisms individually rather than counting scene presence as depth.
