id,phase,priority,work_package,role,depends_on,relative_size,deliverable,acceptance,conditional_depends_on
B01,P0,P0,Evidence contract and unit dictionary,Editorial + domain review,,M,Claim schema; units; evidence/status vocabulary; source rules; content-change/contribution and source-rights metadata,Every current numeric claim has a denominator/date/scope; unknowns remain explicit,
B02,P0,P0,Ontology and legacy-ID mapping,Content architecture,B01,M,Containment/process/dependency/workload entities and typed edges; old-ID map,All 97 legacy IDs map without losing saved progress or deep links; no duplicate entities or circular prerequisites,
B03,P0,P0,Representative fabrication and assembly flow selection,Semiconductor review,B01,M,Named reference sequences; alternative flows; measurement stages,FEOL/MOL/BEOL and stack/package order reviewed; no invented qualified recipe,
B04,P0,P0,Resolve HBM silicon-intensity source,Source editor,B01,S,Recovered migrated Micron primary attachment with exact location/context,3x teaching claim stays withheld until original generation/equal-bit/same-node context verified,
B05,P1,P0,Two wafers to one AI system storyboard,Learning + 3D design,B02;B03,M,12–16 lesson slice; state transitions; cross-scale selection and evidence storyboard; shared illustrative bill of materials/workload; model-to-executable trace,Learner can follow converging logic/HBM streams and distinguish process from physical containment; geometry/scale/abstraction labels are explicit,
B06,P1,P0,Content adapter and hierarchy foundation,Frontend + content engineering,B02,L,Typed entities/claims/units; backward-compatible navigation and URL state,Legacy content renders and nested sublayers remain searchable/reachable,
B07,P1,P0,Process and cross-section scene engine,3D engineering,B03;B05;B06,L,Persistent geometry states; process scrubber; material legend; reset/pause,Each state change represents the reviewed physical transformation and has a text equivalent,
B08,P1,P0,End-to-end capacity lab,Numerical + learning engineering,B01;B05;B06,M,Dimensioned toy capacity model; provenance; bottleneck sensitivity; required bounded ramp/inventory/delay mode,Compatible units; no yield/test double counting; changing a constraint moves the bottleneck correctly; processing/waiting/qualification/allocation are distinct,
B09,P1,P0,Integrated slice learning review,Domain + usability review,B07;B08,M,Task-based review; revision list; performance baseline,Users explain how a fabrication or supply constraint changes useful workload capacity; predict and explain a changed case; document beginner/engineering-depth review,
B10,P2,P0,Starting wafers and repeated unit operations,Semiconductor content + scenes,B09,L,W01/W02 lessons; films/deposition/pattern/etch/CMP/inspection states; representative tool anatomy and fab utilities/handling branch,Each step has input/output/measurement; representative process windows explicitly bounded,
B11,P2,P0,FEOL/MOL/BEOL and backside-power branch,Semiconductor content + scenes,B10,L,W03 lesson family and reviewed device-to-wiring sequence,Contact/via/TSV roles distinct; alternative integration routes named,
B12,P2,P0,"Yield, test and process control",Semiconductor + numerical review,B09;B10,L,W04 lessons; L01–L04 labs; synthetic defect/inspection exercise; equipment availability and repeated tool-visit explanation,"Raw, screened, stack and final yields separate; evidence questions discriminate competing mechanisms",
B13,P2,P0,Package integration comparisons,Packaging content + scenes,B09;B03,L,W05; CoWoS/SoIC/EMIB/Foveros representative flows; bond/test/reliability insets; design/package co-design and signal/power/thermal/test constraints,Different families have genuine geometry/process distinctions and configuration-specific support,
B14,P2,P0,HBM manufacturing and interface path,Memory + packaging review,B09,L,W06; stack/base-die/PHY/controller lessons; L05; bit-to-wafer explanation,Capacity/bandwidth/height/footprint/per-bit silicon clearly separated; unresolved 3x source gates only that claim/default,B04 (only the sourced 3x numeric card/default)
B15,P3,P0,CPU/GPU/XPU architecture teaching families,Architecture content + scenes,B09,L,W07; common-task execution/dataflow scenes; L07,Comparisons reveal control/dataflow/locality rather than unqualified peak rankings,
B16,P3,P0,Public product-specimen dataset,Architecture source editor,B01;B15,L,Curated CPU/GPU/TPU/Trainium/Inferentia/Maia/MTIA/FPGA/DPU/wafer-scale cases,Pin generation/source; reconcile GB/GiB and dense/sparse; expose unknown fields,
B17,P3,P0,Fabless design-to-deployment ecosystem,Industry + architecture content,B03;B15,M,W08; workload→RTL/PDK/tapeout→foundry/OSAT→software/qualification graph; synthetic custom-silicon economics and co-design worked example,"Business roles, fabrication steps, design announcements and deployed products remain distinct; explicit volume/NRE/software/yield/cost assumptions",
B18,P4,P0,Package-to-board/rack/hall traversal,Systems content + 3D,B13;B14;B15,L,W09; byte/current/heat/coolant overlays; readiness states; power/signal interface budgets and in-service reliability thread,"Named reference boundary, stable selection, distinct services and commissioning",
B19,P4,P0,Model workload and memory-wall labs,ML systems + numerical review,B14;B15,L,W11; L08–L10; prefill/decode/training resource profiles; graph/compiler/kernel/runtime trace; full memory hierarchy and input/storage path,"Separate memory capacity, bandwidth and latency; match benchmark workload and precision",
B20,P4,P0,Current capacity and allocation topic cards,Evidence editor + systems modeling,B01;B08;B17,M,TSMC/packaging/HBM/substrate capacity ledger and synthetic allocation scenarios; qualified vs allocated capacity; core curated multi-region status comparison,No invented queue or share; dated statements and time bases preserved,
B21,P4,P0,Curated global deployment map/table,Infrastructure research + frontend,B01;B18,L,W10; initial verified regions/sites; phase/status dataset; accessible table,Operating/building/planned totals separate; no site/campus/operator double counting,
B22,P4,P0,Power/cooling/useful-work lab,Infrastructure + numerical review,B18;B19,M,L11; power/energy/water accounting and workload throughput bounds; bounded checkpoint/interruption and retained-work scenario,No universal MW-to-tokens factor; consumption vs circulation and IT vs facility boundary clear,
B23,P5,P0,Orbital evidence and system anatomy,Space systems content,B01;B18,M,W12 core lessons; flight/demo/proposal chronology,Thermal/radiation/comms/serviceability explicit; status verified before publication; core orbital scope required; full coupled lab also required via B24,
B24,P5,P0,Orbital feasibility capstone,Space systems + numerical/3D,B22;B23,L,L12 coupled energy/thermal/link/reliability scenario,Each scenario closes budgets or identifies unresolved limiting condition,
B25,P2–P5,P0,Historical mechanism lineages,Science-history editor,B01;B03,M,Device/pattern/interconnect/package/HBM/architecture/software milestones,"Event type, mechanism, limitation and primary source linked to applicable lessons",
B26,P6,P0,"Accessibility, performance and learning QA",Frontend QA + domain review,B10;B11;B12;B13;B14;B15;B16;B17;B18;B19;B20;B21;B22;B23;B24;B25,L,Production-build task checks; keyboard/reduced-motion/fallback/mobile; memory/frame/error checks,Accepted learning outcomes; zero unresolved critical navigation/render/units errors,
B27,P6,P0,Scientific and current-claim release review,Independent editorial/domain review,B26,L,Final source ledger; claim supersession; metric consistency; unknowns and limitations,No unsupported numeric headline or unlabeled forecast/scenario; dates reviewed at freeze; unresolved evidence cannot populate numeric defaults,
B28,P6,P0,Versioned release and walkthrough refresh,Release engineering + media,B27,M,Version decision; fixed tag; MIT/notices; citation/changelog; checksummed source/static packages; tour,Artifacts match verified source; notes distinguish software/content updates and test scope,
B29,P2–P6,P0,CRG computation-to-realization bridge,Chip design + systems research,B01;B13;B17;B19;B27,M,Typed process route; source-labeled six-lesson research module; interactive seven-boundary bridge; formal equations; verification loop,Approximately-55-year statement remains a scoped Semi AI Foundry research claim; independent history and AGI conclusions stay separate,
